direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source
SERVER,0,-1,0x013a1ce0,0x013a1d08,packethandlers::Chat::MESSAGE_QUICKCHAT_CLANCHANNEL,BINDER
SERVER,1,-1,0x013a1ca0,0x013a1cc8,packethandlers::NPCInfo::SET_NPC_OP,BINDER
SERVER,2,-1,0x013a1c60,0x013a1c88,packethandlers::Chat::MESSAGE_QUICKCHAT_CLANCHAT,BINDER
SERVER,3,19,0x015c0c00,0x015c0c28,IF_SETTOPLEVELINTERFACE,BINDER
SERVER,4,32,0x015c0b00,0x015c0b28,IF_SETANGLE,BINDER
SERVER,5,0,0x015c1700,0x015c1728,RESET_ALL_VARPS,BINDER
SERVER,6,7,0x015c1e40,0x015c1e68,LOC_PREFETCH,BINDER
SERVER,7,0,0x013a1c20,0x013a1c48,packethandlers::Misc::RESET_ENTITY_LISTS,BINDER
SERVER,8,5,0x015c0440,0x015c0468,IF_SETPLAYERHEAD_ACTIVE,BINDER
SERVER,9,-2,0x013a1be0,0x013a1c08,packethandlers::Chat::CLANCHANNEL_FULL_CHAT,BINDER
SERVER,10,3,0x015c1600,0x015c1628,FUN_000ef6e0_VARP_BIT_SMALL,BINDER
SERVER,11,-2,0x013a1ba0,0x013a1bc8,packethandlers::Chat::MESSAGE_PUBLIC,BINDER
SERVER,12,2,0x015c0e80,0x015c0ea8,Misc::SET_PLAYER_OP_2,BINDER
SERVER,13,1,0x015c0ec0,0x015c0ee8,Misc::SET_PLAYER_OP_3,BINDER
SERVER,14,8,0x015c0580,0x015c05a8,IF_SETSPRITE,BINDER
SERVER,15,11,0x013a1b60,0x013a1b88,FUN_001dade0,BINDER
SERVER,16,2,0x015c1ec0,0x015c1ee8,LOC_DEL,BINDER
SERVER,17,-1,0x015c0f00,0x015c0f28,Misc::SET_PLAYER_OP,BINDER
SERVER,18,1,0x013a1b20,0x013a1b48,packethandlers::Camera::CAM_TARGET,BINDER
SERVER,19,-2,0x013a1ae0,0x013a1b08,FUN_000f7080,BINDER
SERVER,20,3,0x013a1aa0,0x013a1ac8,FUN_001741b0,BINDER
SERVER,21,10,0x015c1a40,0x015c1a68,LOC_ANIM_SPECIFIC,BINDER
SERVER,22,-2,0x015c0f40,0x015c0f68,jag::PlayerList::ProcessPlayerInfo,BINDER
SERVER,23,-2,0x013a1a60,0x013a1a88,packethandlers::PlayerGroup::PLAYER_OP,BINDER
SERVER,24,-1,0x015c1300,0x015c1328,UPDATE_ZONE_PARTIAL,BINDER
SERVER,25,-2,0x013a1a20,0x013a1a48,FUN_001898a0,BINDER
SERVER,26,-2,0x013a19e0,0x013a1a08,packethandlers::SiteSettings::UPDATE_SITESETTINGS_thunk,BINDER
SERVER,27,10,0x013a19a0,0x013a19c8,packethandlers::ZoneUpdates::SPOTANIM_SPECIFIC,BINDER
SERVER,28,6,0x015c1680,0x015c16a8,FUN_000ef740_VARP_LARGE,BINDER
SERVER,29,-2,0x013a1960,0x013a1988,packethandlers::Clans::CLANSETTINGS_FULL,BINDER
SERVER,30,8,0x015c0900,0x015c0928,IF_SET2DANGLE,BINDER
SERVER,31,6,0x013a1920,0x013a1948,FUN_00186f40,BINDER
SERVER,32,8,0x015c0740,0x015c0768,IF_SETCOLOUR,BINDER
SERVER,33,-1,0x013a18e0,0x013a1908,FUN_001a0f40,BINDER
SERVER,34,8,0x013a18a0,0x013a18c8,packethandlers::Audio::SOUND_AREA_SYNTH,BINDER
SERVER,35,12,0x015c0a00,0x015c0a28,IF_SETEVENTS2,BINDER
SERVER,36,10,0x013a1860,0x013a1888,FUN_00186c60,BINDER
SERVER,37,-1,0x013a1820,0x013a1848,packethandlers::Chat::MESSAGE_FRIENDCHANNEL,BINDER
SERVER,38,8,0x015c08c0,0x015c08e8,IF_SET_MODEL_FRAME,BINDER
SERVER,39,6,0x015c0c40,0x015c0c68,IF_OPENTOP,BINDER
SERVER,40,8,0x015c0a40,0x015c0a68,IF_SUBSWAP,BINDER
SERVER,41,3,0x015c2080,0x015c20a8,UPDATE_ZONE_PARTIAL_FOLLOWS,BINDER
SERVER,42,10,0x013a17e0,0x013a1808,packethandlers::ZoneUpdates::SPOTANIM_SPECIFIC_PACKED,BINDER
SERVER,43,12,0x013a17a0,0x013a17c8,packethandlers::ZoneUpdates::SPOTANIM_ENTITY,BINDER
SERVER,44,6,0x015c12c0,0x015c12e8,game::StatTable::UpdateStat,BINDER
SERVER,45,1,0x013a1760,0x013a1788,packethandlers::Misc::SET_MULTIWAY_STATE,BINDER
SERVER,46,5,0x015c1c40,0x015c1c68,OBJ_ADD,BINDER
SERVER,47,3,0x015c1580,0x015c15a8,FUN_000ef680_CLIENT_SETVARC_SMALL,BINDER
SERVER,48,3,0x015c14c0,0x015c14e8,FUN_000ef5f0_CLIENT_SETVARCBIT_SMALL,BINDER
SERVER,49,-2,0x013a1720,0x013a1748,packethandlers::Lobby::CHANGE_LOBBY,BINDER
SERVER,50,-1,0x015c1f40,0x015c1f68,LOC_CUSTOMISE,BINDER
SERVER,51,6,0x015c15c0,0x015c15e8,FUN_000ef6b0_VARP_BIT_LARGE,BINDER
SERVER,52,-2,0x013a16e0,0x013a1708,NPCList::ProcessNpcInfo,BINDER
SERVER,53,-2,0x013a16a0,,UNBOUND,UNBOUND
SERVER,54,-1,0x013a1660,0x013a1688,packethandlers::Misc::NO_TIMEOUT,BINDER
SERVER,55,0,0x015c1380,0x015c13a8,DESTROY_ZONE_DATA,BINDER
SERVER,56,-1,0x013a1620,0x013a1648,packethandlers::Chat::MESSAGE_QUICKCHAT_PRIVATE,BINDER
SERVER,57,6,0x013a15e0,0x013a1608,FUN_00186e60,BINDER
SERVER,58,0,0x015c1340,0x015c1368,RESET_CLIENT_STATE,BINDER
SERVER,59,10,0x015c0600,0x015c0628,IF_SETNPCMODEL,BINDER
SERVER,60,25,0x015c0b40,0x015c0b68,IF_SETPLAYERMODEL_SELF,BINDER
SERVER,61,3,0x015c16c0,0x015c16e8,FUN_000ef770_VARP_SMALL,BINDER
SERVER,62,4,0x015c0a80,0x015c0aa8,IF_CLOSESUB_ACTIVE,BINDER
SERVER,63,10,0x013a15a0,0x013a15c8,FUN_0014ebc0,BINDER
SERVER,64,6,0x015c1540,0x015c1568,FUN_000ef650_CLIENT_SETVARC_LARGE,BINDER
SERVER,65,20,0x015c1dc0,0x015c1de8,MAP_PROJANIM,BINDER
SERVER,66,5,0x013a1560,0x013a1588,FUN_00187160,BINDER
SERVER,67,-2,0x013a1520,0x013a1548,packethandlers::Clans::CLANCHANNEL_FULL,BINDER
SERVER,68,10,0x015c03c0,0x015c03e8,IF_SETMODELORIGIN,BINDER
SERVER,69,6,0x015c1480,0x015c14a8,FUN_000ef5c0_CLIENT_SETVARCBIT_LARGE,BINDER
SERVER,70,25,0x015c0b80,0x015c0ba8,IF_SETPLAYERMODEL_OTHER,BINDER
SERVER,71,7,0x015c1ac0,0x015c1ae8,OBJ_REVEAL,BINDER
SERVER,72,1,0x013a14e0,0x013a1508,packethandlers::Camera::CAM_FORCEANGLE,BINDER
SERVER,73,2,0x013a14a0,0x013a14c8,FUN_00175810,BINDER
SERVER,74,4,0x015c0f80,0x015c0fa8,Misc::SET_DISPLAY_INT,BINDER
SERVER,75,0,0x013a1460,0x013a1488,packethandlers::ClientState::SET_READY_FLAG,BINDER
SERVER,76,-2,0x015c2000,0x015c2028,UPDATE_ZONE_PARTIAL_ENCLOSED,BINDER
SERVER,77,-2,0x013a1420,0x013a1448,packethandlers::Camera::CAM_UPDATE,BINDER
SERVER,78,3,0x015c2040,0x015c2068,UPDATE_ZONE_FULL_FOLLOWS,BINDER
SERVER,79,-1,0x013a13e0,0x013a1408,packethandlers::NPCInfo::NPC_HEADICON_SPECIFIC,BINDER
SERVER,80,1,0x013a13a0,0x013a13c8,packethandlers::Misc::SET_RUN_ENERGY,BINDER
SERVER,81,-2,0x013a1360,0x013a1388,packethandlers::ClientState::REBUILD_NORMAL_SIMPLE,BINDER
SERVER,82,23,0x015c0bc0,0x015c0be8,IF_SETPOSITION,BINDER
SERVER,83,-2,0x013a1320,0x013a1348,packethandlers::ClientState::REBUILD_REGION_ALT,BINDER
SERVER,84,10,0x015c0880,0x015c08a8,IF_SETOBJECT,BINDER
SERVER,85,-2,0x013a12e0,0x013a1308,packethandlers::Inventory::UPDATE_INV_FULL_impl,BINDER
SERVER,86,10,0x015c06c0,0x015c06e8,IF_SETANIM,BINDER
SERVER,87,0,0x013a12a0,0x013a12c8,packethandlers::Camera::CAM_RESET,BINDER
SERVER,88,4,0x013a1260,0x013a1288,FUN_001dad40,BINDER
SERVER,89,19,0x013a1220,0x013a1248,packethandlers::NPCInfo::NPC_SPOTANIM,BINDER
SERVER,90,-1,0x015c1fc0,0x015c1fe8,LOC_ADD,BINDER
SERVER,91,5,0x015c0940,0x015c0968,IF_SETHIDE,BINDER
SERVER,92,-1,0x015c1440,0x015c1468,Misc::SET_VARC_STR_SMALL,BINDER
SERVER,93,-1,0x013a11e0,0x013a1208,packethandlers::Chat::MESSAGE_GAME,BINDER
SERVER,94,8,0x015c0c80,0x015c0ca8,IF_OPENSUB,BINDER
SERVER,95,5,0x013a11a0,0x013a11c8,packethandlers::Audio::MIDI_SONG,BINDER
SERVER,96,4,0x015c0700,0x015c0728,IF_SETANIM_ACTIVE,BINDER
SERVER,97,10,0x015c09c0,0x015c09e8,IF_SETEVENTS,BINDER
SERVER,98,25,0x013a1160,0x013a1188,packethandlers::ZoneUpdates::MAP_PROJANIM_FULL,BINDER
SERVER,99,6,0x015c0540,0x015c0568,IF_SETRECOL,BINDER
SERVER,100,4,0x013a1120,0x013a1148,packethandlers::ClientState::RUNCLIENTSCRIPT_SHORT,BINDER
SERVER,101,4,0x015c0840,0x015c0868,IF_SETOBJECT_ACTIVE,BINDER
SERVER,102,8,0x015c07c0,0x015c07e8,IF_SETMODEL,BINDER
SERVER,103,8,0x015c0780,0x015c07a8,IF_SETGRAPHIC,BINDER
SERVER,104,14,0x013a10e0,0x013a1108,packethandlers::PlayerInfo::PLAYER_INFO_DECODE,BINDER
SERVER,105,-1,0x013a10a0,0x013a10c8,packethandlers::Chat::MESSAGE_CLANCHANNEL,BINDER
SERVER,106,1,0x013a1060,0x013a1088,packethandlers::NPCInfo::SET_NPC_UPDATE_ORIGIN,BINDER
SERVER,107,3,0x015c1bc0,0x015c1be8,OBJ_DEL,BINDER
SERVER,108,-2,0x013a1020,0x013a1048,packethandlers::Clans::CLANSETTINGS_DELTA,BINDER
SERVER,109,28,0x015c0e40,0x015c0e68,PlayerInfo::HANDSHAKE_UID,BINDER
SERVER,110,-2,0x013a0fe0,0x013a1008,packethandlers::ClientState::RUNCLIENTSCRIPT_impl,BINDER
SERVER,111,6,0x013a0fa0,0x013a0fc8,FUN_00175960,BINDER
SERVER,112,2,0x013a0f60,0x013a0f88,packethandlers::ClientState::SET_TICK_TIMER,BINDER
SERVER,113,11,0x015c1cc0,0x015c1ce8,MAP_ANIM,BINDER
SERVER,114,-1,0x013a0f20,0x013a0f48,packethandlers::Chat::CHAT_FILTER_SETTINGS,BINDER
SERVER,115,10,0x015c0680,0x015c06a8,IF_SETNPCHEAD,BINDER
SERVER,116,-2,0x015c1400,0x015c1428,FUN_000ef560_SET_VARC_STR_LARGE,BINDER
SERVER,117,-1,0x013a0ee0,0x013a0f08,packethandlers::Clans::CLANCHANNEL_DELTA,BINDER
SERVER,118,29,0x015c0ac0,0x015c0ae8,IF_SETPLAYERMODEL_SNAPSHOT,BINDER
SERVER,119,35,0x013a0ea0,0x013a0ec8,packethandlers::Misc::CUTSCENE_DATA,BINDER
SERVER,120,0,0x013a0e60,0x013a0e88,packethandlers::Camera::CAM_SMOOTHRESET,BINDER
SERVER,121,-2,0x013a0e20,0x013a0e48,packethandlers::Inventory::UPDATE_INV_PARTIAL,BINDER
SERVER,122,-2,0x015c0980,0x015c09a8,IF_SETTEXT,BINDER
SERVER,123,0,0x015c0400,0x015c0428,IF_TRIGGER_CLOSE,BINDER
SERVER,124,-2,0x013a0de0,0x013a0e08,packethandlers::Chat::CLANSETTINGS_DELTA_CHAT,BINDER
SERVER,125,7,0x015c1b40,0x015c1b68,OBJ_COUNT,BINDER
SERVER,126,-1,0x013a0da0,0x013a0dc8,packethandlers::Chat::MESSAGE_FRIENDCHAT,BINDER
SERVER,127,0,0x013a0d60,0x013a0d88,FUN_00182610,BINDER
SERVER,128,0,0x013a0d20,0x013a0d48,FUN_00173e40,BINDER
SERVER,129,3,0x013a0ce0,0x013a0d08,FUN_001dc630,BINDER
SERVER,130,-1,0x013a0ca0,0x013a0cc8,packethandlers::Social::UPDATE_IGNORELIST_thunk,BINDER
SERVER,131,3,0x015c1000,0x015c1028,FUN_000f9600,BINDER
SERVER,132,2,0x013a0c60,0x013a0c88,packethandlers::Audio::SOUND_STOP,BINDER
SERVER,133,1,0x013a0c20,0x013a0c48,packethandlers::NPCInfo::SET_NPC_UPDATE_FLAG,BINDER
SERVER,134,-2,0x013a0be0,0x013a0c08,packethandlers::NPCInfo::NPC_SAY,BINDER
SERVER,135,-2,0x013a0ba0,0x013a0bc8,FUN_001758f0,BINDER
SERVER,136,5,0x015c0640,0x015c0668,IF_SETANIM_SMALL,BINDER
SERVER,137,1,0x013a0b60,0x013a0b88,packethandlers::Chat::SET_CHAT_FILTER_A,BINDER
SERVER,138,2,0x013a0b20,0x013a0b48,packethandlers::Misc::SKIP_2_BYTES,BINDER
SERVER,139,0,0x013a0ae0,0x013a0b08,packethandlers::Misc::LOGOUT_TRANSFER,BINDER
SERVER,140,17,0x013a0aa0,0x013a0ac8,packethandlers::ZoneUpdates::PLAYER_SPOTANIM,BINDER
SERVER,141,-2,0x013a0a60,0x013a0a88,packethandlers::Interfaces::IF_OPENSUB_thunk,BINDER
SERVER,142,-1,0x013a0a20,0x013a0a48,packethandlers::Misc::SET_URL_STRING,BINDER
