# Per-quest MasterQuestVar dump from cache opcode 3 (primary) and opcode 4 (alt).
# Format: <questId>  <name>  | op3=[(operator,varId,value)...]  op4=[...]
#
   0  Cabin Fever                                        | op3=[]  op4=[]
   1  Tower of Life                                      | op3=[]  op4=[(9803,2,18)]
   2  Scorpion Catcher                                   | op3=[]  op4=[]
   3  The Golem                                          | op3=[]  op4=[]
   4  Rocking Out                                        | op3=[]  op4=[(12462,10,100)]
   5  The Path of Glouphrie                              | op3=[]  op4=[]
   6  Cook's Assistant                                   | op3=[]  op4=[]
   7  Witch's House                                      | op3=[]  op4=[]
   8  Elemental Workshop I                               | op3=[]  op4=[]
   9  Priest in Peril                                    | op3=[]  op4=[]
  10  Shades of Mort'ton                                 | op3=[]  op4=[]
  11  Love Story                                         | op3=[]  op4=[]
  12  The Slug Menace                                    | op3=[]  op4=[]
  13  Death to the Dorgeshuun                            | op3=[]  op4=[(11533,1,13)]
  14  Spirit of Summer                                   | op3=[]  op4=[]
  15  Ernest the Chicken                                 | op3=[(2183,1,3)]  op4=[]
  16  Watchtower                                         | op3=[(2397,1,13)]  op4=[]
  17  Romeo and Juliet                                   | op3=[(2692,10,100)]  op4=[]
  18  The Tale of the Muspah                             | op3=[]  op4=[(11228,5,250)]
  19  In Search of the Myreque                           | op3=[]  op4=[]
  20  Swept Away                                         | op3=[]  op4=[(9847,5,50)]
  21  In Aid of the Myreque                              | op3=[]  op4=[(11498,20,430)]
  22  My Arm's Big Adventure                             | op3=[]  op4=[]
  23  Catapult Construction                              | op3=[]  op4=[(12210,2,60)]
  24  Lunar Diplomacy                                    | op3=[]  op4=[(10236,10,190)]
  25  Dealing With Scabaras                              | op3=[]  op4=[]
  26  The Darkness of Hallowvale                         | op3=[]  op4=[]
  27  The Restless Ghost                                 | op3=[(2324,1,5)]  op4=[]
  28  Murder Mystery                                     | op3=[(2364,1,2)]  op4=[]
  29  All Fired Up                                       | op3=[]  op4=[(13518,5,90)]
  30  Recipe for Disaster                                | op3=[]  op4=[(12708,1,5)]
  31  Underground Pass                                   | op3=[]  op4=[]
  32  Grim Tales                                         | op3=[]  op4=[]
  33  Fur 'n Seek                                        | op3=[]  op4=[(9902,1,5)]
  34  Dwarf Cannon                                       | op3=[(2732,1,11)]  op4=[]
  35  Forgiveness of a Chaos Dwarf                       | op3=[]  op4=[(10544,10,80)]
  36  A Soul's Bane                                      | op3=[]  op4=[(12392,1,13)]
  37  The Lost Tribe                                     | op3=[]  op4=[(13963,1,11)]
  38  Heroes' Quest                                      | op3=[]  op4=[]
  39  Sheep Herder                                       | op3=[(2274,1,3)]  op4=[]
  40  Tribal Totem                                       | op3=[(2783,1,5)]  op4=[]
  41  As a First Resort                                  | op3=[]  op4=[]
  42  Lost City                                          | op3=[]  op4=[]
  43  Animal Magnetism                                   | op3=[]  op4=[(11411,10,240)]
  44  Clock Tower                                        | op3=[(2197,1,8)]  op4=[]
  45  A Tail of Two Cats                                 | op3=[]  op4=[(11085,5,70)]
  46  Spirits of the Elid                                | op3=[]  op4=[(12609,10,60)]
  47  Legacy of Seergaze                                 | op3=[]  op4=[]
  48  Swan Song                                          | op3=[]  op4=[]
  49  Back to my Roots                                   | op3=[]  op4=[]
  50  The Fremennik Trials                               | op3=[]  op4=[]
  51  Demon Slayer                                       | op3=[]  op4=[(17841,1,9)]
  52  Wolf Whistle                                       | op3=[]  op4=[]
  53  Black Knights' Fortress                            | op3=[(2552,1,4)]  op4=[]
  54  Observatory Quest                                  | op3=[]  op4=[]
  55  Rune Mysteries                                     | op3=[(2689,1,6)]  op4=[]
  56  Defender of Varrock                                | op3=[]  op4=[(12163,10,250)]
  57  Between a Rock...                                  | op3=[]  op4=[]
  58  Plague City                                        | op3=[(2386,1,29)]  op4=[]
  59  Jungle Potion                                      | op3=[(2484,1,12)]  op4=[]
  60  Pirate's Treasure                                  | op3=[(2227,1,4)]  op4=[]
  61  King's Ransom                                      | op3=[]  op4=[(11298,5,90)]
  62  Recruitment Drive                                  | op3=[]  op4=[(12355,1,2)]
  63  Shield of Arrav                                    | op3=[(2738,1,7)]  op4=[]
  64  Prince Ali Rescue                                  | op3=[]  op4=[]
  65  The Grand Tree                                     | op3=[]  op4=[]
  66  Dragon Slayer                                      | op3=[(2268,1,10)]  op4=[]
  67  Rat Catchers                                       | op3=[]  op4=[]
  68  Rag and Bone Man                                   | op3=[]  op4=[(12837,1,4)]
  69  The Dig Site                                       | op3=[]  op4=[]
  70  Shilo Village                                      | op3=[(2793,1,15)]  op4=[]
  71  Shadow of the Storm                                | op3=[]  op4=[(10495,10,125)]
  72  Imp Catcher                                        | op3=[(2669,1,2)]  op4=[]
  73  A Fairy Tale I - Growing Pains                     | op3=[]  op4=[]
  74  Myths of the White Lands                           | op3=[]  op4=[(13876,5,60)]
  75  Eadgar's Ruse                                      | op3=[(2549,10,110)]  op4=[]
  76  Fishing Contest                                    | op3=[(2331,1,5)]  op4=[]
  77  Missing My Mummy                                   | op3=[]  op4=[(11167,10,60)]
  78  Tree Gnome Village                                 | op3=[]  op4=[]
  79  Dream Mentor                                       | op3=[]  op4=[(9530,2,28)]
  80  Smoking Kills                                      | op3=[]  op4=[]
  81  Tears of Guthix                                    | op3=[]  op4=[(4909,1,2)]
  82  Ghosts Ahoy                                        | op3=[]  op4=[(13497,1,8)]
  83  A Void Dance                                       | op3=[]  op4=[(13080,3,63)]
  84  Recipe For Disaster: Another Cook's Quest          | op3=[]  op4=[]
  85  Troll Stronghold                                   | op3=[(2347,10,50)]  op4=[]
  86  While Guthix Sleeps                                | op3=[]  op4=[(11858,10,910)]
  87  In Pyre Need                                       | op3=[]  op4=[(10188,10,30)]
  88  The Great Brain Roberry                            | op3=[]  op4=[]
  89  Tai Bwo Wannai Trio                                | op3=[]  op4=[]
  90  Troll Romance                                      | op3=[(2135,1,45)]  op4=[]
  91  Land of the Goblins                                | op3=[]  op4=[]
  92  Creature of Fenkenstrain                           | op3=[(2615,1,8)]  op4=[]
  93  Waterfall Quest                                    | op3=[(2353,1,10)]  op4=[]
  94  Elemental Workshop II                              | op3=[]  op4=[]
  95  Summer's End                                       | op3=[]  op4=[(11428,5,35)]
  96  Kennith's Concerns                                 | op3=[]  op4=[]
  97  Enakhra's Lament                                   | op3=[]  op4=[(9740,10,70)]
  98  Forgettable Tale of a Drunken Dwarf                | op3=[]  op4=[]
  99  Doric's Quest                                      | op3=[]  op4=[]
 100  Regicide                                           | op3=[]  op4=[]
 101  Rum Deal                                           | op3=[(2100,1,19)]  op4=[]
 102  Big Chompy Bird Hunting                            | op3=[(2772,5,65)]  op4=[]
 103  Wanted!                                            | op3=[]  op4=[]
 104  Zogre Flesh Eaters                                 | op3=[]  op4=[(10448,1,14)]
 105  Horror from the Deep                               | op3=[]  op4=[]
 106  Fight Arena                                        | op3=[]  op4=[]
 107  Enlightened Journey                                | op3=[]  op4=[]
 108  Merlin's Crystal                                   | op3=[(2178,1,7)]  op4=[]
 109  Perils of Ice Mountain                             | op3=[]  op4=[]
 110  Roving Elves                                       | op3=[(2286,2,6)]  op4=[]
 111  Druidic Ritual                                     | op3=[]  op4=[(13366,2,8)]
 112  Holy Grail                                         | op3=[(2330,2,10)]  op4=[]
 113  The Tourist Trap                                   | op3=[]  op4=[]
 114  The Chosen Commander                               | op3=[]  op4=[(9136,10,110)]
 115  Glorious Memories                                  | op3=[]  op4=[(12906,3,45)]
 116  Family Crest                                       | op3=[(2663,1,11)]  op4=[]
 117  The Curse of Arrav                                 | op3=[]  op4=[(11151,10,240)]
 118  Garden of Tranquillity                             | op3=[]  op4=[]
 119  Legends' Quest                                     | op3=[]  op4=[]
 120  Haunted Mine                                       | op3=[(2201,1,11)]  op4=[]
 121  Sea Slug                                           | op3=[(2700,1,12)]  op4=[]
 122  Hunt for Red Raktuber                              | op3=[]  op4=[]
 123  Devious Minds                                      | op3=[]  op4=[(11914,10,80)]
 124  Making History                                     | op3=[]  op4=[(9664,1,4)]
 125  Hazeel Cult                                        | op3=[(2592,2,9)]  op4=[]
 126  Temple of Ikov                                     | op3=[(2148,10,80)]  op4=[]
 127  Royal Trouble                                      | op3=[]  op4=[(12425,10,30)]
 128  Biohazard                                          | op3=[(2535,1,16)]  op4=[]
 129  Mournings Ends Part II                             | op3=[]  op4=[]
 130  Monkey Madness                                     | op3=[(2762,1,9)]  op4=[]
 131  Unstable Foundations                               | op3=[(1295,5,1000)]  op4=[]
 132  Vampyre Slayer                                     | op3=[]  op4=[]
 133  Nature Spirit                                      | op3=[(2355,5,110)]  op4=[]
 134  The Giant Dwarf                                    | op3=[]  op4=[]
 135  Desert Treasure                                    | op3=[]  op4=[(9482,1,15)]
 136  The Feud                                           | op3=[]  op4=[]
 137  Goblin Diplomacy                                   | op3=[]  op4=[(9363,1,6)]
 138  Gertrude's Cat                                     | op3=[(2175,1,6)]  op4=[]
 139  TokTz-Ket-Dill                                     | op3=[]  op4=[]
 140  Death Plateau                                      | op3=[]  op4=[(10848,5,65)]
 141  Icthlarin's Little Helper                          | op3=[]  op4=[]
 142  Meeting History                                    | op3=[]  op4=[(13718,5,20)]
 143  The Eyes of Glouphrie                              | op3=[]  op4=[]
 144  What Lies Below                                    | op3=[]  op4=[(10939,5,150)]
 145  Cold War                                           | op3=[]  op4=[(10430,5,135)]
 146  One Small Favour                                   | op3=[(2671,5,280)]  op4=[]
 147  Monk's Friend                                      | op3=[]  op4=[]
 148  The Fremennik Isles                                | op3=[]  op4=[(13178,5,340)]
 149  Eagles' Peak                                       | op3=[]  op4=[(13931,5,40)]
 150  The Hand in the Sand                               | op3=[]  op4=[]
 151  Mountain Daughter                                  | op3=[]  op4=[(13349,10,70)]
 152  The Knight's Sword                                 | op3=[]  op4=[]
 153  Olaf's Quest                                       | op3=[]  op4=[]
 154  A Fairy Tale II - Cure a Queen                     | op3=[]  op4=[]
 155  Another Slice of H.A.M.                            | op3=[]  op4=[(13650,1,11)]
 156  Mournings Ends Part 1                              | op3=[]  op4=[]
 157  Throne of Miscellania                              | op3=[]  op4=[]
 158  Contact!                                           | op3=[]  op4=[]
 159  Recipe For Disaster: Freeing Skrach Uglogwee       | op3=[]  op4=[]
 160  Recipe For Disaster: Freeing Pirate Pete           | op3=[]  op4=[]
 161  Recipe For Disaster: Freeing the Goblin Generals   | op3=[]  op4=[]
 162  Recipe For Disaster: Freeing King Awowogei         | op3=[]  op4=[]
 163  Recipe For Disaster: Freeing Sir Amik Varze        | op3=[]  op4=[]
 164  Recipe For Disaster: Freeing Evil Dave             | op3=[]  op4=[]
 165  Recipe For Disaster: Freeing the Mountain Dwarf    | op3=[]  op4=[]
 166  Recipe For Disaster: Freeing the Lumbridge Sage    | op3=[]  op4=[]
 167  Within the Light                                   | op3=[]  op4=[(10506,1,46)]
 168  The Temple at Senntisten                           | op3=[]  op4=[]
 169  Blood Runs Deep                                    | op3=[]  op4=[]
 170  Nomad's Requiem                                    | op3=[]  op4=[(10095,1,12)]
 171  Rune Mechanics                                     | op3=[]  op4=[(10919,5,35)]
 172  The Blood Pact                                     | op3=[]  op4=[]
 173  Sheep Shearer (miniquest)                          | op3=[(2163,1,21)]  op4=[]
 174  Buyers and Cellars                                 | op3=[]  op4=[]
 175  A Fairy Tale III - Battle at Ork's Rift            | op3=[]  op4=[]
 176  Elemental Workshop III                             | op3=[]  op4=[]
 177  The Quiet Before the Swarm                         | op3=[]  op4=[]
 178  Witch's Potion (miniquest)                         | op3=[(2473,1,3)]  op4=[]
 179  Gunnar's Ground                                    | op3=[]  op4=[]
 180  The Void Stares Back                               | op3=[]  op4=[]
 181  O Little Town of Daemonheim                        | op3=[]  op4=[(14352,1,44)]
 182  Achievement System                                 | op3=[]  op4=[]
 183  Do No Evil                                         | op3=[]  op4=[]
 184  Partying is Such Sweet Sorrow                      | op3=[]  op4=[(14649,1,20)]
